,iteration,train loss,val_seen loss,val_seen model_score,val_seen bleu,val_seen unpenalized_bleu,val_unseen loss,val_unseen model_score,val_unseen bleu,val_unseen unpenalized_bleu
0,1,65.45745849609375,47.17584768776755,-18.584850364572862,27.68,28.448098663926004,45.21735551712361,-17.893528174014232,25.23,25.903490759753595
1,2,59.42982864379883,48.1650135447678,-18.553294020540573,27.22,27.889344262295083,45.28851401146422,-18.107243871627944,25.26,25.88114754098361
2,3,31.2034912109375,47.3932346047707,-17.795103303123923,26.67,27.810218978102192,45.22144095238219,-17.181074758751336,26.01,27.03742203742204
